"url","reviews","rank","rating","hotel_name","hotel_features","hotel_price","no_of_deals","booking_provider","hotel_url"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","1145 ","#17 Best Value of 157 places to stay in Boston","4.5","Hilton Garden Inn Boston Logan Airport","Free Parking,Pool,Hotel website","₫3,864,155","6","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","1201 ","#18 Best Value of 157 places to stay in Boston","4.5","The Boxer Boston","Free Wifi,Restaurant,Hotel website","₫5,499,446","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","1490 ","#19 Best Value of 157 places to stay in Boston","4.5","Eliot Hotel","Free Wifi,Restaurant","₫5,780,506","0","Agoda.com","https://www.tripadvisor.com/Hotel_Review-g60745-d111423-Reviews-Eliot_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","2900 ","#20 Best Value of 157 places to stay in Boston","4.5","The Verb Hotel","Free Wifi,Pool,Hotel website","₫3,738,809","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d6485213-Reviews-The_Verb_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","3578 ","#21 Best Value of 157 places to stay in Boston","4.5","Lenox Hotel","Free Wifi,Restaurant","₫7,245,955","0","Agoda.com","https://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","661 ","#22 Best Value of 157 places to stay in Boston","4.5","enVision Hotel Boston - Longwood","Free Wifi,Fitness center","₫3,876,071","0","Agoda.com","https://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","2245 ","#23 Best Value of 157 places to stay in Boston","4","Hilton Boston Downtown / Faneuil Hall","Restaurant,Room Service,Hotel website","₫5,457,164","5","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d94326-Reviews-Hilton_Boston_Downtown_Faneuil_Hall-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","2113 ","#24 Best Value of 157 places to stay in Boston","4.5","Copley Square Hotel","Free Wifi,Restaurant,Hotel website","₫5,868,018","5","Agoda.com","https://www.tripadvisor.com/Hotel_Review-g60745-d111421-Reviews-Copley_Square_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","1737 ","#25 Best Value of 157 places to stay in Boston","4.5","Residence Inn by Marriott Boston Back Bay/Fenway","Free Wifi,Free Breakfast,Hotel website","₫4,901,923","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d4325990-Reviews-Residence_Inn_by_Marriott_Boston_Back_Bay_Fenway-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","1739 ","#26 Best Value of 157 places to stay in Boston","4","DoubleTree by Hilton Hotel Boston - Downtown","Restaurant,Room Service,Hotel website","₫3,298,555","5","HotelQuickly","https://www.tripadvisor.com/Hotel_Review-g60745-d217550-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Downtown-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","1288 ","#27 Best Value of 157 places to stay in Boston","4","The Inn at Longwood Medical","Free Wifi,Restaurant","₫4,463,747","0","HotelQuickly","https://www.tripadvisor.com/Hotel_Review-g60745-d77638-Reviews-The_Inn_at_Longwood_Medical-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","1776 ","#28 Best Value of 157 places to stay in Boston","4.5","Battery Wharf Hotel, Boston Waterfront","Restaurant,Room Service,Hotel website","₫4,365,381","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d1201116-Reviews-Battery_Wharf_Hotel_Boston_Waterfront-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","2893 ","#29 Best Value of 157 places to stay in Boston","4","The Westin Boston Waterfront","Pool,Restaurant,Hotel website","₫5,603,397","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d595373-Reviews-The_Westin_Boston_Waterfront-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa0-Boston_Massachusetts-Hotels.html","1107 ","#30 Best Value of 157 places to stay in Boston","4.5","HI Boston","Free Wifi,Free Breakfast","","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d3169894-Reviews-HI_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","565 ","","3.5","Holiday Inn Express Hotel & Suites Boston Garden","Free Wifi,Breakfast included,Hotel website","₫4,837,209","5","HIExpress.com","https://www.tripadvisor.com/Hotel_Review-g60745-d1138709-Reviews-Holiday_Inn_Express_Hotel_Suites_Boston_Garden-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1201 ","#31 Best Value of 157 places to stay in Boston","4.5","The Boxer Boston","Free Wifi,Restaurant,Hotel website","₫5,499,446","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","3579 ","#32 Best Value of 157 places to stay in Boston","4.5","Lenox Hotel","Free Wifi,Restaurant","₫7,245,955","0","Agoda.com","https://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1975 ","#33 Best Value of 157 places to stay in Boston","4","DoubleTree Suites by Hilton Boston-Cambridge","Free Wifi,Pool,Hotel website","₫5,213,230","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d111422-Reviews-DoubleTree_Suites_by_Hilton_Boston_Cambridge-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","992 ","#34 Best Value of 157 places to stay in Boston","4","Charlesmark Hotel","Free Wifi,Breakfast included","₫6,243,011","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d225873-Reviews-Charlesmark_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","2898 ","#35 Best Value of 157 places to stay in Boston","4.5","Kimpton Nine Zero Hotel","Free Wifi,Restaurant,Hotel website","₫5,819,406","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d234752-Reviews-Kimpton_Nine_Zero_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1941 ","#36 Best Value of 157 places to stay in Boston","4.5","Courtyard Boston Copley Square","Free Wifi,Restaurant,Hotel website","₫5,784,733","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","769 ","#37 Best Value of 157 places to stay in Boston","4","The Liberty, A Luxury Collection Hotel","Free Wifi,Restaurant,Hotel website","₫7,645,828","0","Agoda.com","https://www.tripadvisor.com/Hotel_Review-g60745-d647006-Reviews-The_Liberty_A_Luxury_Collection_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","554 ","#38 Best Value of 157 places to stay in Boston","4","Oasis Guest House","Free Wifi,Breakfast included,Hotel website","₫3,624,170","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d89596-Reviews-Oasis_Guest_House-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1776 ","#39 Best Value of 157 places to stay in Boston","4.5","Battery Wharf Hotel, Boston Waterfront","Restaurant,Room Service,Hotel website","₫4,365,381","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d1201116-Reviews-Battery_Wharf_Hotel_Boston_Waterfront-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","243 ","#40 Best Value of 157 places to stay in Boston","4","Bricco Suites","Free Wifi,Restaurant","₫6,184,700","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d3952875-Reviews-Bricco_Suites-Boston_Massachusetts.html"
