"offer","brand","description","category","activated_date","expiration_date","url"
"SAVE $2.00","DEPEND®","on any ONE (1) package of DEPEND® Underwear (8 ct. or larger)","Personal Care > Personal Care: Other > Personal Care: Other","2018-06-24T00:01:00-0700","2018-08-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"BUY 3 GET 1 FREE","RENUZIT®","Buy THREE (3) RENUZIT® Adjustable Products, Get ONE (1) FREE (max value $1.10)","Household > Household Cleaners/ Supplies > Air, Rug & Fabric Care","2018-07-08T00:01:00-0700","2018-08-21T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","POISE®","on any ONE (1) package of POISE® Liners (Not valid on 14-26 ct. Liners)","Personal Care > Feminine Hygiene > liners","2018-06-24T00:01:00-0700","2018-08-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Butterball®","on any ONE (1) package of Butterball Frozen Turkey Burgers","Foods > Frozen Foods > Frozen Sandwiches","2018-07-01T00:01:00-0700","2018-10-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","Kleenex®","on ONE (1) Kleenex® Wet Wipes (20 ct. or higher)","Household > Paper/Plastic Products > Facial Tissue","2018-07-04T00:01:00-0700","2018-08-11T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","PURELL®","on TWO (2) 1-2 oz bottles of PURELL® Portables Including Jelly Wraps","Personal Care > Hand Sanitizer > Hand Sanitizer","2018-07-01T00:01:00-0700","2018-10-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Prevacid24HR®","on any ONE (1) Prevacid24HR®","Health Care > Antacids/Acid Blocker > Antacids: Adult","2018-07-15T00:01:00-0700","2018-08-19T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","Gerber®","off EIGHT (8) Gerber® Pouches","Baby & Toddler > Baby Food > Baby Food","2018-07-13T00:01:00-0700","2018-10-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Milk-Bone®","on any ONE (1) Milk-Bone Puffs® dog treat product","Pet Care > Dog Treats > Dog Treats","2018-07-18T00:01:00-0700","2018-09-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.50","Talenti","on ANY one (1) Talenti Crafted With Less Sugar pint","Foods > Ice Cream > Bulk Ice Cream","2018-07-01T00:01:00-0700","2018-08-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00 ON FOUR","Helper™ & Suddenly Salad™","when you buy FOUR PACKAGES any flavor/variety Betty Crocker™ Suddenly Salad™ OR Helper™ products","Foods > Dinners/Entrees/ Appetizers > Dry Pasta","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","AVEENO","off any (1) AVEENO® Facial Cleansing Products (excluding Moisturizing Cleansing Bar)","Personal Care > Cosmetics > Make-Up Remover","2018-07-15T00:01:00-0700","2018-08-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $4.00","Theravent®","on any ONE (1) Theravent® Anti-Snore Strips product (20 count size)","Health Care > Sleeping Aids > Sleeping Aids","2018-07-01T00:01:00-0700","2018-10-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","COVERGIRL","ONE COVERGIRL PRODUCT (Excludes Cheekers, 1-kit shadows, trial/travel size and accessories)","Personal Care > Cosmetics > Eye Shadow","2018-07-02T00:01:00-0700","2018-08-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $5.00","Bella®","on twelve (12) 3.5 oz trays or one (1) 12 ct variety pack of Purina® Bella® Wet Dog Food","Pet Care > Dog Food > Canned","2018-06-15T00:01:00-0700","2018-08-10T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.50","Plus White®","on any ONE (1) Plus White® 5 Minute Teeth Whitening System or Plus White® 5 Minute Teeth Whitening Gel Product","Personal Care > Oral Care > Tooth Whitening","2018-06-15T00:01:00-0700","2018-09-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Gaviscon®","on any ONE (1) Gaviscon® 12 oz. liquid or tablets","Health Care > Antacids/Acid Blocker > Antacids: Adult","2018-07-15T00:01:00-0700","2018-08-28T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Pledge® or Windex®","on any TWO (2) Pledge® or Windex® products","Household > Household Cleaners/ Supplies > Cleaning Supplies","2018-07-10T00:01:00-0700","2018-10-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","GUM SOFT-PICKS","on ONE (1) package of GUM Soft-Picks 60 COUNT or Larger (Available at Walmart)","Personal Care > Oral Care > Dental Care","2018-06-29T00:01:00-0700","2019-01-31T23:59:00-0800","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
