"offer","brand","description","category","activated_date","expiration_date","url"
"Save $0.75","Wet Ones® Product","on any ONE (1) Wet Ones® Hand Wipes, Canister or Singles (excludes 20 ct. Travel Packs)","Household > Household Cleaners/ Supplies > All Purpose Cleaners:  Wipe","2018-07-15T00:01:00-0700","2018-09-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 75¢ ON ONE","Big G Cereals","when you buy ONE BOX Cheerios™ Oat Crunch cereal","Foods > Breakfast > Ready to Eat Cereal","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00 ON ONE","EPIC®","when you buy ONE BOX any flavor EPIC® Performance Bar multipack","Foods > Snacks > Nutritional Snacks","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.55","Minute Maid®","when you BUY ONE (1) Minute Maid® Refreshment or Minute Maid® Light 52 fl oz bottle, any variety","Beverages > Juice > Fruit","2018-06-15T00:01:00-0700","2018-08-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","TUMS®","on any ONE (1) TUMS® 28 count or larger","Health Care > Antacids/Acid Blocker > Antacids: Adult","2018-07-15T00:01:00-0700","2018-08-28T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","AVEENO","off any (1) AVEENO® Body Lotion Product (excluding 2.5oz and smaller)","Personal Care > Skin Care > Hand & Body Lotion","2018-07-15T00:01:00-0700","2018-08-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Gerber®","off ANY FOUR (4) Gerber® Snack Items","Baby & Toddler > Baby Food > Baby Food","2018-07-01T00:01:00-0700","2018-10-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢ ON ONE","Big G Cereals","when you buy ONE BOX Honey Nut Cheerios® OR Honey Nut Cheerios® Medley Crunch™ cereal","Foods > Breakfast > Ready to Eat Cereal","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.25 OFF","Tyson® Products","ANY ONE (1) Tyson® Grilled & Ready® Frozen, Tyson® Grilled & Ready® Refrigerated or Tyson® Naturals Chicken Products, any size","Foods > Meats > Lunch Meats","2018-07-16T00:01:00-0700","2018-09-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Cat Chow®","on one (1) 13lb or larger bag of Purina® Cat Chow® Brand Dry Cat Food, Any Variety","Pet Care > Cat Food > Dry","2018-06-07T00:01:00-0700","2018-09-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","Love Beauty and Planet","on ONE (1) Love Beauty and Planet Hair Care product (excluding trial & travel sizes)","Personal Care > Hair Care > Women","2018-06-28T00:01:00-0700","2018-08-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","POISE®","on any ONE (1) package of POISE® Pads","Personal Care > Feminine Hygiene > liners","2018-06-24T00:01:00-0700","2018-08-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Enfagrow Premium™ Toddler Next Step™ Liquid","any ONE (1) Enfagrow Premium™ Toddler Next Step™ Liquid","Baby & Toddler > Baby Food > Baby Food","2018-07-15T00:01:00-0700","2018-08-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢","Scrubbing Bubbles®","on any ONE (1) Scrubbing Bubbles® Toilet Bowl Cleaner Product","Household > Household Cleaners/ Supplies > Bathroom Cleaner","2018-07-08T00:01:00-0700","2018-10-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢ ON ONE","Big G Cereals","when you buy ONE BOX Reese’s Puffs cereal","Foods > Breakfast > Ready to Eat Cereal","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save 55¢","Sargento®","on any ONE (1) Sargento® Sweet Balanced Breaks Snack","Foods > Snacks > Nutritional Snacks","2018-07-16T00:01:00-0700","2018-08-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢ ON ONE","Big G Cereals","when you buy ONE BOX Lucky Charms™, Chocolate Lucky Charms™ OR Lucky Charms™ Frosted Flakes cereal","Foods > Breakfast > Ready to Eat Cereal","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.50","Scrubbing Bubbles®","when you purchase ONE (1) Scrubbing Bubbles® Fresh Gel Product AND ONE (1) Scrubbing Bubbles® Toilet Bowl Cleaner Product","Household > Household Cleaners/ Supplies > Bathroom Cleaner","2018-07-08T00:01:00-0700","2018-10-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
